id,source_name,Other_name,BZcat_name,ra,dec,WISE_mag_2,NVSS_FIRST_flux,z_flag,redshift,nu_flag,nu_peak,flux_peak,Fermi_counterpart,blazar_type,Fermi_gr_slope,Fermi_gr_slope_error,TEV_FOM
77,1WHSP J012711.0-015153,FIRSTJ01271-0151,5BZBJ0127-0151,21.79612,-1.86489,13.7,16.6,0,0,1,15.0,-12.3,--,0,-9999.0,-9999.0,0.1
132,1WHSP J022855.8-292716,-,--,37.23258,-29.45461,14.7,5.8,0,0,1,15.0,-12.4,--,1,-9999.0,-9999.0,0.08
151,1WHSP J025434.3-454326,-,--,43.64304,-45.72392,14.1,16.8,0,0,1,15.0,-12.5,--,1,-9999.0,-9999.0,0.06
514,1WHSP J122147.5-135158,-,--,185.44808,-13.86633,14.7,10.5,0,0,1,15.0,-12.5,--,1,-9999.0,-9999.0,0.06
554,1WHSP J125800.1-283524,1WGAJ1258.0-2835,--,194.50054,-28.59017,14.4,34.2,0,0,1,15.0,-12.6,--,1,-9999.0,-9999.0,0.05
746,1WHSP J155850.3-034552,-,--,239.70992,-3.76469,14.5,15.0,0,0,1,15.0,-12.7,--,1,-9999.0,-9999.0,0.04
767,1WHSP J161921.6+760508,-,--,244.84029,76.08581,15.0,11.3,0,0,1,15.0,-13.0,--,1,-9999.0,-9999.0,0.02
801,1WHSP J170550.2+641826,-,--,256.45925,64.30736,15.2,4.2,0,0,1,15.0,-13.0,--,1,-9999.0,-9999.0,0.02
70,1WHSP J012006.3+215920,-,--,20.02637,21.98903,12.7,13.1,0,0,1,15.1,-12.0,--,1,-9999.0,-9999.0,0.2
197,1WHSP J035807.2-545139,-,--,59.53029,-54.86089,14.1,30.3,0,0,1,15.1,-12.6,--,1,-9999.0,-9999.0,0.05
231,1WHSP J045744.2-014932,-,--,74.43433,-1.82558,13.7,10.0,0,0,1,15.1,-12.4,--,1,-9999.0,-9999.0,0.08
283,1WHSP J064827.4+711313,-,--,102.11442,71.22044,14.2,3.9,0,0,1,15.1,-12.3,--,1,-9999.0,-9999.0,0.1
456,1WHSP J112411.7-371009,-,--,171.049,-37.16917,15.6,11.9,0,0,1,15.1,-11.7,--,1,-9999.0,-9999.0,0.4
836,1WHSP J180432.3+614120,1RXSJ180432.2+61411,--,271.13463,61.68908,14.9,3.8,0,0,1,15.1,-12.9,--,1,-9999.0,-9999.0,0.03
854,1WHSP J184948.5+690241,-,--,282.45225,69.04478,15.4,22.5,0,0,1,15.1,-13.1,--,1,-9999.0,-9999.0,0.02
894,1WHSP J210451.0+050320,CRATESJ210449+050303,--,316.21271,5.05564,12.7,137.2,0,0,1,15.1,-11.9,--,1,-9999.0,-9999.0,0.25
905,1WHSP J213306.3-281536,-,--,323.27625,-28.26017,13.3,83.3,0,0,1,15.1,-12.1,--,1,-9999.0,-9999.0,0.16
710,1WHSP J152624.8-070223,1RXSJ152624.2-07022,--,231.60358,-7.03989,13.5,9.8,0,0,2,15.1,-12.6,--,1,-9999.0,-9999.0,0.05
8,1WHSP J001011.7+334851,-,--,2.54875,33.81433,13.1,17.1,0,0,1,15.2,-12.1,--,1,-9999.0,-9999.0,0.16
111,1WHSP J020430.0-213725,-,--,31.12538,-21.62364,14.5,8.5,0,0,1,15.2,-12.6,--,1,-9999.0,-9999.0,0.05
267,1WHSP J054746.5-460709,1RXSJ054746.9-46070,--,86.94413,-46.11942,14.4,17.7,0,0,1,15.2,-12.4,--,1,-9999.0,-9999.0,0.08
291,1WHSP J071959.8+632228,-,--,109.99942,63.37453,14.9,49.9,0,0,1,15.2,-12.7,--,1,-9999.0,-9999.0,0.04
298,1WHSP J074029.8+284850,-,--,115.12442,28.81403,14.6,7.5,0,0,1,15.2,-12.8,--,1,-9999.0,-9999.0,0.03
313,1WHSP J080212.4+554353,-,--,120.552,55.73144,14.8,26.5,0,0,1,15.2,-12.7,--,1,-9999.0,-9999.0,0.04
